net,length_um
m.u_conv2._0551_,18.55µm
m.u_conv2.acc\[33\]\[0\],18.55µm
m.u_conv3.u_weights._06647_,18.55µm
m.u_conv3.u_weights._09624_,18.55µm
m.u_conv3.u_weights._10490_,18.55µm
m.u_conv3.u_weights._14197_,18.55µm
m.u_conv3.u_weights._15759_,18.55µm
m.u_mnist_loader._03_,18.55µm
m.u_conv2.u_loader._385_,18.54µm
m.u_conv3.u_weights._13359_,18.54µm
m.u_conv2._1541_,18.535µm
m.u_conv3.u_weights._00722_,18.51µm
m.u_conv3.u_weights._02305_,18.51µm
m.u_conv3.u_weights._04733_,18.51µm
m.u_conv3.u_weights._09519_,18.505µm
m.u_conv3.u_weights._11791_,18.505µm
m.u_conv2.u_loader._073_,18.5µm
m.u_conv3.u_weights._00773_,18.5µm
m.u_conv3.u_weights._05348_,18.5µm
m.u_conv2._0706_,18.49µm
m.u_conv2.acc\[27\]\[1\],18.49µm
m.u_conv2.u_loader._417_,18.49µm
m.u_conv3.u_weights._02142_,18.49µm
m.u_conv3.u_weights._07259_,18.49µm
m.u_conv3.u_weights._09316_,18.49µm
m.u_conv3.u_weights._14947_,18.49µm
m.u_tree._0904_,18.49µm
net2891,18.49µm
m.u_conv3.u_weights._08454_,18.48µm
m.u_conv3.u_weights._12032_,18.48µm
m.u_conv3.u_weights._05626_,18.475µm
m.u_conv3.u_weights._01255_,18.465µm
m.u_pool2._112_,18.45µm
m.u_conv2.acc\[12\]\[1\],18.445µm
m.u_conv2.acc\[6\]\[5\],18.445µm
m.u_conv2.acc\[30\]\[4\],18.44µm
m.u_conv3.u_weights._02469_,18.44µm
m.u_conv3.u_weights._05128_,18.44µm
m.u_conv3.u_weights._14190_,18.44µm
m.u_pool1._206_,18.44µm
m.u_conv1.u_loader._045_,18.43µm
m.u_conv1.u_weights._006_,18.43µm
m.u_conv2._0646_,18.43µm
m.u_conv2.acc\[17\]\[2\],18.43µm
m.u_conv2.sram_req_load\[8\],18.43µm
m.u_conv3.u_weights._07242_,18.43µm
m.u_conv3.u_weights._12324_,18.43µm
m.u_conv2._0938_,18.42µm
m.u_conv3.u_weights._00820_,18.42µm
m.u_conv3.u_weights._01461_,18.42µm
m.u_conv3.u_weights._09769_,18.42µm
m.u_conv3.u_weights._11508_,18.42µm
m.u_conv2.u_weights._068_,18.415µm
m.u_conv3.u_weights._08696_,18.415µm
m.u_conv3.u_weights._12605_,18.415µm
m.u_conv3.u_weights._03909_,18.41µm
m.u_tree._0091_,18.405µm
m.u_conv2.u_loader._064_,18.395µm
m.u_conv3.u_weights._01723_,18.395µm
m.u_conv3.u_weights._06796_,18.39µm
m.u_conv3.u_weights._10028_,18.39µm
m.u_conv2.u_weights._379_,18.385µm
m.u_conv3.u_weights._05459_,18.38µm
m.u_conv3.u_weights._11778_,18.38µm
m.u_conv3.u_weights._12224_,18.38µm
m.u_conv1._090_,18.37µm
m.u_conv2.acc\[24\]\[4\],18.37µm
m.u_conv3.u_weights._01168_,18.37µm
m.u_conv3.u_weights._01175_,18.37µm
m.u_conv3.u_weights._01498_,18.37µm
m.u_conv3.u_weights._01936_,18.37µm
m.u_conv3.u_weights._03842_,18.37µm
m.u_conv3.u_weights._05462_,18.37µm
m.u_conv3.u_weights._08069_,18.37µm
m.u_conv3.u_weights._12282_,18.37µm
m.u_conv3.u_weights._13266_,18.37µm
m.u_conv3.u_weights._14443_,18.37µm
m.u_conv3.u_weights._15421_,18.37µm
m.u_tree._0573_,18.37µm
m.u_tree._1441_,18.37µm
m.u_conv1.u_weights._017_,18.365µm
m.u_conv3.u_weights._02182_,18.36µm
m.u_conv3.u_weights._03144_,18.36µm
m.u_conv3.u_weights._08149_,18.36µm
m.u_conv3.u_weights._13525_,18.36µm
m.u_conv3.u_weights._08545_,18.355µm
m.u_conv2.acc\[54\]\[2\],18.335µm
m.u_tree._0667_,18.33µm
m.u_conv1.u_weights._045_,18.325µm
m.u_conv3.u_weights._01523_,18.325µm
m.u_conv2.acc\[38\]\[2\],18.315µm
m.u_conv2.u_loader._116_,18.315µm
m.u_conv1.u_loader._073_,18.31µm
m.u_pool1._082_,18.31µm
m.u_conv3.u_weights._07496_,18.305µm
m.u_conv3.u_weights._11817_,18.305µm
m.u_conv3.u_weights._09780_,18.3µm
m.u_conv3.u_weights._14429_,18.3µm
net2820,18.3µm
m.u_conv3.u_weights._00122_,18.295µm
m.u_conv2.u_weights._290_,18.285µm
m.u_conv3.u_weights._07142_,18.27µm
m.u_conv3.u_weights._10021_,18.27µm
m.u_conv3.u_weights._15750_,18.27µm
m.u_tree._0092_,18.27µm
m.u_conv3.u_weights._01400_,18.26µm
m.u_conv3.u_weights._02576_,18.26µm
m.u_conv3.u_weights._03529_,18.26µm
m.u_conv3.u_weights._06328_,18.26µm
m.u_conv3.u_weights._10329_,18.26µm
m.u_pool2._136_,18.255µm
m.u_conv2.u_loader._144_,18.25µm
m.u_conv3.u_weights._00991_,18.25µm
m.u_conv3.u_weights._10580_,18.25µm
m.u_conv3.u_weights._11094_,18.25µm
m.u_conv3.u_weights._11705_,18.25µm
m.u_conv3.u_weights._14766_,18.25µm
m.u_tree._0484_,18.25µm
net2823,18.25µm
net2935,18.25µm
net2992,18.25µm
m.u_tree._1368_,18.245µm
m.u_conv3.u_weights._15050_,18.24µm
m.u_conv3.u_weights._09462_,18.23µm
m.u_conv3.u_weights._00400_,18.21µm
m.u_conv3.u_weights._03470_,18.21µm
m.u_conv2.acc\[17\]\[6\],18.205µm
m.u_conv2.u_loader._223_,18.205µm
m.u_conv3.u_weights._00844_,18.2µm
m.u_conv3.u_weights._01127_,18.2µm
m.u_conv3.u_weights._10304_,18.2µm
m.u_conv3.u_weights._06786_,18.19µm
m.u_conv3.u_weights._10311_,18.19µm
m.u_pool2.c_out\[0\],18.19µm
m.u_conv3.u_weights._07313_,18.185µm
m.u_conv3.u_weights._01577_,18.18µm
m.u_conv3.u_weights._10093_,18.18µm
m.u_conv3.u_weights._12951_,18.18µm
m.u_conv3.u_weights._03491_,18.175µm
m.u_conv3.u_weights._05574_,18.175µm
m.u_tree._0805_,18.175µm
m.u_conv3.u_weights._05728_,18.165µm
m.u_conv3.u_weights._09645_,18.16µm
m.u_conv3.u_weights._00541_,18.15µm
m.u_conv3.u_weights._07669_,18.15µm
m.u_conv3.u_weights._09213_,18.145µm
m.u_conv3.u_weights._01686_,18.14µm
m.u_conv3.u_weights._04445_,18.14µm
m.u_conv1.u_loader._035_,18.13µm
m.u_conv1.u_loader._275_,18.13µm
m.u_conv3.u_weights._00032_,18.13µm
m.u_conv3.u_weights._00355_,18.13µm
m.u_conv3.u_weights._03696_,18.13µm
m.u_conv3.u_weights._07705_,18.13µm
m.u_conv3.u_weights._10262_,18.13µm
m.u_conv3.u_weights._11857_,18.13µm
m.u_conv3.u_weights._01163_,18.125µm
m.u_conv3.u_weights._01165_,18.125µm
net1820,18.12µm
m.u_conv3.u_weights._07408_,18.12µm
m.u_conv3.u_weights._09037_,18.12µm
m.u_conv3.u_weights._04837_,18.115µm
m.u_conv3.u_weights._08483_,18.115µm
m.u_conv3.u_weights._15374_,18.115µm
m.u_conv3.u_weights._10940_,18.105µm
m.u_conv3.u_weights._01041_,18.1µm
m.u_conv3.u_weights._06748_,18.1µm
m.u_conv3.u_weights._07059_,18.1µm
m.u_conv3.u_weights._09701_,18.1µm
m.u_conv3.u_weights._10094_,18.1µm
m.u_conv3.u_weights._11626_,18.1µm
m.u_conv3.u_weights._08637_,18.085µm
m.u_conv2.acc\[13\]\[1\],18.08µm
m.u_conv3.u_weights._04913_,18.08µm
m.u_tree._0499_,18.08µm
m.u_conv3.u_weights._04386_,18.07µm
m.u_conv3.u_weights._06188_,18.07µm
m.u_conv3.u_weights._11382_,18.07µm
m.u_conv3.u_weights._12607_,18.07µm
m.u_conv3.u_weights._10187_,18.065µm
m.u_tree._1060_,18.065µm
m.u_conv2.acc\[23\]\[4\],18.06µm
m.u_conv3.u_weights._10997_,18.06µm
m.u_conv3.u_weights._00388_,18.055µm
m.u_conv3.u_weights._11487_,18.055µm
m.u_conv1.u_weights._100_,18.04µm
m.u_conv3.u_weights._02478_,18.03µm
m.u_conv3.u_weights._11448_,18.03µm
m.u_conv3.u_weights._02869_,18.025µm
m.u_conv3.u_weights._06619_,18.025µm
m.u_conv3.u_weights._04966_,18.02µm
m.u_conv3.u_weights._06079_,18.02µm
m.u_conv3.u_weights._07840_,18.02µm
m.u_conv3.u_weights._14792_,18.02µm
m.u_conv1.u_loader._022_,18.01µm
m.u_conv3.input_buf\[25\],18.01µm
m.u_conv3.u_weights._05494_,18.01µm
m.u_conv3.u_weights._10949_,18.01µm
m.u_conv3.u_weights._14989_,18.01µm
m.u_tree._0947_,18.01µm
m.u_conv3.u_weights._06955_,18µm
m.u_conv3.u_weights._12861_,18µm
m.u_conv3.u_weights._14061_,18µm
m.u_tree._0171_,18µm
m.u_tree._1133_,18µm
m.u_tree._1159_,18µm
m.u_conv2._0929_,17.995µm
m.u_conv3.u_weights._01841_,17.995µm
m.u_conv3.u_weights._03332_,17.995µm
m.u_conv3.u_weights._08979_,17.985µm
m.u_conv3.u_weights._03277_,17.975µm
m.u_conv3.u_weights._01642_,17.97µm
m.u_conv3.u_weights._05487_,17.97µm
m.u_conv2.acc\[43\]\[0\],17.965µm
m.u_conv2._0725_,17.96µm
m.u_conv2.acc\[5\]\[0\],17.96µm
m.u_conv3.u_weights._06343_,17.96µm
m.u_conv3.u_weights._07611_,17.96µm
m.u_conv3.u_weights._08912_,17.96µm
m.u_conv3.u_weights._09168_,17.96µm
m.u_conv2.acc\[34\]\[6\],17.95µm
m.u_conv3.u_weights._02876_,17.95µm
m.u_conv3.u_weights._10184_,17.95µm
m.u_conv3.u_weights._11212_,17.95µm
m.u_conv3.u_weights._12094_,17.95µm
m.u_conv3.u_weights._12344_,17.95µm
m.u_conv3.u_weights._14418_,17.95µm
m.u_tree._0210_,17.95µm
m.u_conv1.u_weights._094_,17.945µm
m.u_conv3.u_weights._09732_,17.945µm
m.u_pool2._059_,17.945µm
m.u_pool2._105_,17.945µm
m.u_conv2.u_loader._243_,17.94µm
m.u_conv3.u_weights._10154_,17.94µm
m.u_conv3.u_weights._13959_,17.94µm
m.u_conv3.u_weights._14461_,17.94µm
m.u_conv3.u_weights._05927_,17.935µm
net1571,17.93µm
m.u_tree._1011_,17.925µm
m.u_conv3.u_weights._01970_,17.92µm
m.u_conv3.u_weights._13851_,17.91µm
m.u_tree._0570_,17.91µm
net2339,17.91µm
m.u_conv3.u_weights._12157_,17.905µm
m.u_conv2.acc\[48\]\[0\],17.9µm
m.u_conv3.u_weights._00619_,17.9µm
m.u_conv3.u_weights._05150_,17.9µm
m.u_conv3.u_weights._07714_,17.9µm
m.u_conv3.u_weights._14685_,17.9µm
m.u_tree._1089_,17.9µm
m.u_conv2.u_weights._041_,17.89µm
m.u_conv3.u_weights._00181_,17.89µm
m.u_conv3.u_weights._01293_,17.89µm
m.u_conv3.u_weights._02111_,17.89µm
m.u_conv3.u_weights._02174_,17.89µm
m.u_conv3.u_weights._02893_,17.89µm
m.u_conv3.u_weights._04317_,17.89µm
m.u_conv3.u_weights._05789_,17.89µm
m.u_conv3.u_weights._05896_,17.89µm
m.u_conv3.u_weights._08312_,17.89µm
m.u_conv3.u_weights._09148_,17.89µm
m.u_conv3.u_weights._09679_,17.89µm
m.u_conv3.u_weights._09817_,17.89µm
m.u_conv3.u_weights._10394_,17.89µm
m.u_conv3.u_weights._15440_,17.89µm
m.u_pool1._060_,17.89µm
m.u_pool1._068_,17.89µm
m.u_tree._1119_,17.89µm
m.u_conv2.u_loader._441_,17.88µm
m.u_conv3.u_weights._04129_,17.88µm
m.u_conv3.u_weights._05470_,17.88µm
m.u_conv3.u_weights._11432_,17.88µm
m.u_conv2.u_loader._100_,17.875µm
m.u_conv3.u_weights._01047_,17.875µm
m.u_conv3.u_weights._08448_,17.875µm
m.u_conv3.u_weights._04391_,17.85µm
m.u_conv3.u_weights._07589_,17.85µm
m.u_conv3.u_weights._15334_,17.85µm
m.u_conv3.u_weights._14592_,17.845µm
inference_done_o,17.84µm
m.u_conv2.acc\[59\]\[4\],17.84µm
m.u_conv3.u_weights._01949_,17.84µm
m.u_conv3.u_weights._11748_,17.84µm
m.u_conv3.u_weights._12426_,17.84µm
m.u_conv3.u_weights._02936_,17.83µm
m.u_conv3.u_weights._14509_,17.83µm
m.u_conv3.u_weights._14678_,17.83µm
m.u_conv3.u_weights._03099_,17.82µm
m.u_conv3.u_weights._10175_,17.82µm
m.u_conv3.u_weights._14445_,17.82µm
net2954,17.82µm
m.u_conv3.u_weights._03797_,17.815µm
m.u_conv3.u_weights._10344_,17.795µm
m.u_conv3.u_weights._09161_,17.79µm
m.u_conv3.u_weights._10763_,17.79µm
m.u_conv3.u_weights._01526_,17.785µm
m.u_conv3.u_weights._08408_,17.785µm
m.u_conv3.u_weights._14177_,17.78µm
m.u_conv1.u_loader._088_,17.77µm
m.u_conv2.u_loader._345_,17.77µm
m.u_conv3.input_buf\[54\],17.77µm
m.u_conv3.input_buf\[9\],17.77µm
m.u_conv1.u_loader._200_,17.765µm
m.u_tree._0608_,17.765µm
m.u_conv3.u_weights._03461_,17.76µm
m.u_conv3.u_weights._06279_,17.76µm
m.u_conv3.u_weights._14862_,17.755µm
m.u_conv3.u_weights._11621_,17.745µm
m.u_pool1._143_,17.745µm
m._039_,17.73µm
m.u_conv3.u_weights._01817_,17.73µm
m.u_conv3.u_weights._01043_,17.725µm
m.u_conv3.u_weights._11883_,17.725µm
m.u_conv3.u_weights._12721_,17.725µm
m.u_conv3.u_weights._06156_,17.72µm
m.u_conv2.u_loader._074_,17.71µm
m.u_conv3.u_weights._01336_,17.71µm
m.u_conv3.u_weights._03783_,17.71µm
m.u_conv3.u_weights._12900_,17.71µm
net2307,17.71µm
m.u_conv2._0767_,17.705µm
m.u_conv3.u_weights._11513_,17.705µm
m.u_conv3.u_weights._00706_,17.695µm
m.u_conv3.u_weights._09578_,17.695µm
m.u_conv3.u_weights._10368_,17.695µm
m.u_conv3.u_weights._01759_,17.68µm
m.u_pool1._043_,17.665µm
m.u_conv2.u_weights._048_,17.66µm
m.u_conv3.u_weights._06301_,17.66µm
m.u_conv3.u_weights._07521_,17.66µm
m.seq_state\[5\],17.65µm
m.u_conv1.u_loader._063_,17.65µm
m.u_conv2.acc\[2\]\[2\],17.65µm
m.u_conv3.u_weights._01911_,17.65µm
m.u_conv3.u_weights._06564_,17.65µm
m.u_conv3.u_weights._06580_,17.65µm
m.u_conv3.u_weights._08367_,17.65µm
m.u_conv3.u_weights._10874_,17.65µm
m.u_conv3.u_weights._12205_,17.65µm
m.u_conv3.u_weights._15554_,17.65µm
net2393,17.65µm
m.u_conv3.u_weights._13051_,17.645µm
m.u_tree._0303_,17.645µm
m.u_conv2.acc\[7\]\[5\],17.64µm
m.u_conv3.u_weights._00031_,17.64µm
m.u_conv3.u_weights._10670_,17.64µm
m.u_conv3.u_weights._11223_,17.64µm
m.u_conv1.co\[2\],17.635µm
m.u_conv2.acc\[27\]\[2\],17.635µm
m.u_conv3.u_weights._00902_,17.635µm
m.u_conv3.u_weights._01869_,17.635µm
m.u_conv3.u_weights._11127_,17.635µm
m.u_conv3.u_weights._15361_,17.635µm
m.u_conv3.u_weights._01870_,17.6µm
m.u_conv3.u_weights._02623_,17.6µm
m.u_conv3.u_weights._11103_,17.6µm
m.u_conv3.u_weights._15608_,17.6µm
m.u_conv3.u_weights._14660_,17.595µm
m.sram_req_conv1\[7\],17.59µm
m.u_conv3.u_weights._07903_,17.59µm
m.u_conv3.u_weights._11306_,17.59µm
m.u_conv3.u_weights._14105_,17.59µm
m.u_pool1._062_,17.59µm
net2855,17.59µm
m.u_conv3.u_weights._08196_,17.585µm
m.u_conv3.u_weights._10919_,17.58µm
m.u_conv3.u_weights._13868_,17.58µm
m.u_conv3.u_weights._14302_,17.58µm
m.u_conv3.u_weights._01228_,17.575µm
m.u_conv3.u_weights._04870_,17.575µm
m.u_conv3.u_weights._10149_,17.575µm
m.u_conv3.u_weights._01481_,17.56µm
m.u_conv3.u_weights._12090_,17.56µm
m.u_conv3.u_weights._12350_,17.56µm
m.u_conv3.u_weights._12804_,17.56µm
m.u_conv1.u_loader._056_,17.55µm
m.u_conv1.u_loader._250_,17.55µm
m.u_conv3.u_weights._00070_,17.55µm
m.u_conv3.u_weights._00919_,17.545µm
m.u_conv3.u_weights._04972_,17.545µm
m.u_conv3.u_weights._09267_,17.545µm
m.u_conv3.u_weights._00294_,17.54µm
m.u_conv3.u_weights._00236_,17.535µm
m.u_conv3._045_,17.53µm
m.u_conv3.u_weights._00172_,17.53µm
m.u_conv3.u_weights._01894_,17.53µm
m.u_conv3.u_weights._02459_,17.53µm
m.u_conv3.u_weights._02510_,17.53µm
m.u_conv3.u_weights._08156_,17.53µm
m.u_conv3.u_weights._09437_,17.53µm
m.u_conv3.u_weights._13619_,17.53µm
m.u_tree._1263_,17.525µm
m.u_conv1.u_loader._124_,17.52µm
m.u_conv3.u_weights._09196_,17.52µm
m.u_conv3.u_weights._12937_,17.52µm
m.u_conv3.u_weights._14381_,17.52µm
m.u_tree._0406_,17.52µm
m.u_tree._1086_,17.52µm
m.u_conv3.u_weights._10285_,17.515µm
m.u_conv3.u_weights._08930_,17.505µm
m.u_conv3.u_weights._09866_,17.505µm
m.u_conv3.u_weights._07788_,17.49µm
m.u_conv3.u_weights._00215_,17.485µm
m.u_conv3.u_weights._13872_,17.48µm
m.u_conv3.u_weights._02988_,17.47µm
m.u_conv3.u_weights._06588_,17.47µm
m.u_conv3.u_weights._10471_,17.47µm
m.u_tree._0372_,17.465µm
m.u_conv3.u_weights._00351_,17.46µm
m.u_conv3.u_weights._03080_,17.46µm
m.u_conv3.u_weights._08621_,17.46µm
m.u_conv3.u_weights._10934_,17.46µm
m.u_conv3.u_weights._11422_,17.46µm
m.u_conv3.u_weights._14187_,17.46µm
m.u_conv2._0989_,17.455µm
m.u_conv3.u_weights._01269_,17.455µm
m.u_conv3.u_weights._01614_,17.455µm
m.u_conv3.u_weights._07209_,17.45µm
m.u_conv3.u_weights._14121_,17.435µm
net1825,17.43µm
m.u_conv3.u_weights._05171_,17.43µm
m.u_conv3.u_weights._06857_,17.43µm
m.u_conv3.u_weights._09826_,17.43µm
m.u_conv3.u_weights._11789_,17.43µm
m.u_conv2.acc\[50\]\[4\],17.425µm
m.u_conv3.u_weights._04420_,17.425µm
m.u_conv3.u_weights._05451_,17.425µm
net2953,17.425µm
m.u_conv3.u_weights._01961_,17.42µm
m.u_conv3.u_weights._10383_,17.42µm
m.u_conv2.u_loader._404_,17.415µm
m._037_,17.41µm
m.u_conv2._0599_,17.41µm
m.u_conv3._190_,17.41µm
m.u_conv3.u_weights._02336_,17.41µm
m.u_conv3.u_weights._05854_,17.41µm
m.u_conv3.u_weights._13862_,17.41µm
m.u_conv2._0723_,17.4µm
m.u_conv3.u_weights._01918_,17.4µm
m.u_conv3.u_weights._02135_,17.4µm
m.u_conv3.u_weights._04265_,17.4µm
m.u_conv3.u_weights._06714_,17.4µm
m.u_conv3.u_weights._10964_,17.4µm
m.u_tree._0356_,17.39µm
m.u_conv3.u_weights._08088_,17.38µm
m.u_conv3.u_weights._06091_,17.36µm
m.u_conv3.u_weights._06773_,17.36µm
m.u_conv3.u_weights._10007_,17.355µm
m.u_conv3.u_weights._13062_,17.35µm
m.u_conv3.u_weights._14906_,17.35µm
m.u_conv3.u_weights._15220_,17.35µm
m.u_conv3.u_weights._04091_,17.345µm
m.u_conv1.u_loader._199_,17.34µm
m.u_conv1.u_weights._118_,17.34µm
m.u_conv3.u_weights._08395_,17.34µm
m.u_conv3.u_weights._13393_,17.34µm
m.u_conv3.u_weights._00461_,17.335µm
m.u_conv3.u_weights._04045_,17.335µm
m.u_conv1.u_weights._075_,17.325µm
m.u_conv3.u_weights._11868_,17.325µm
m.u_conv3.u_weights._09482_,17.315µm
m.u_tree._0871_,17.315µm
m.u_conv3.u_weights._14063_,17.31µm
m.u_conv3.u_weights._10014_,17.305µm
m.u_conv3._196_,17.3µm
m.u_conv3.u_weights._01825_,17.3µm
m.u_conv3.u_weights._11344_,17.3µm
m.u_conv3.u_weights._14114_,17.3µm
m.u_conv3.u_weights._15293_,17.295µm
m.sram_req_mnist\[21\],17.29µm
m.u_conv1.u_weights._120_,17.29µm
m.u_conv3.u_weights._01645_,17.29µm
m.u_conv3.u_weights._02763_,17.29µm
m.u_conv3.u_weights._05615_,17.29µm
m.u_conv3.u_weights._09599_,17.29µm
net2984,17.29µm
m.u_conv3.u_weights._00871_,17.28µm
m.u_conv3.u_weights._13489_,17.28µm
m.u_conv3.u_weights._12642_,17.27µm
m.u_conv3.u_weights._01998_,17.265µm
m.u_conv2.u_loader._343_,17.26µm
m.u_conv3.u_weights._07550_,17.26µm
m.u_conv3.u_weights._14215_,17.25µm
m.u_conv3.u_weights._03486_,17.245µm
m.u_conv3.u_weights._13860_,17.245µm
m.u_pool2._146_,17.245µm
m.u_conv2.u_loader._093_,17.24µm
m.u_tree._0638_,17.24µm
m.u_conv2.u_loader._167_,17.235µm
m.u_conv3.u_weights._13432_,17.235µm
m.u_conv3.state\[2\],17.23µm
net3056,17.23µm
m.u_conv1.u_loader._307_,17.22µm
m.u_conv3.u_weights._04631_,17.22µm
m.u_conv3.u_weights._05499_,17.22µm
m.u_tree._0775_,17.22µm
net2284,17.22µm
m.u_conv2.acc\[31\]\[6\],17.215µm
m.u_conv3.u_weights._03611_,17.215µm
m.u_conv3.u_weights._09577_,17.215µm
m.u_conv2._0821_,17.205µm
m.u_conv3.byte_idx\[1\],17.205µm
m.u_conv3.u_weights._08616_,17.2µm
m.u_conv2._0884_,17.18µm
m.u_conv2.acc\[62\]\[4\],17.18µm
m.u_conv2.u_loader._031_,17.18µm
m.u_conv3.u_weights._06089_,17.18µm
m.u_conv2._0591_,17.17µm
m.u_conv2._0778_,17.17µm
m.u_conv3.u_weights._05208_,17.17µm
m.u_conv3.u_weights._07282_,17.17µm
m.u_conv3.u_weights._07469_,17.17µm
m.u_conv3.u_weights._07683_,17.17µm
m.u_conv3.u_weights._10060_,17.17µm
m.u_tree._0301_,17.17µm
m._043_,17.16µm
m._055_,17.16µm
m.sram_req_pool2\[1\],17.16µm
m.u_conv2._0834_,17.16µm
m.u_conv2.u_weights._006_,17.16µm
m.u_conv3.u_weights._04377_,17.16µm
m.u_conv3.u_weights._15119_,17.16µm
m.u_tree._0645_,17.16µm
m.pool1_start,17.155µm
m.u_conv3.u_weights._11535_,17.155µm
m.u_conv3.u_weights._01545_,17.14µm
m.u_conv3.u_weights._04333_,17.14µm
m.u_conv3.u_weights._05986_,17.14µm
m.u_conv3.u_weights._06636_,17.14µm
m.u_conv3.u_weights._10349_,17.14µm
m.u_conv3.u_weights._03691_,17.12µm
m.u_conv3.u_weights._10338_,17.12µm
m.u_conv3.u_weights._12661_,17.115µm
m.u_conv1.u_loader._024_,17.11µm
m.u_conv3.u_weights._00812_,17.11µm
m.u_conv3.u_weights._05336_,17.11µm
m.u_conv3.u_weights._06356_,17.11µm
m.u_conv3.u_weights._02789_,17.105µm
m.u_conv3.u_weights._10814_,17.105µm
m.u_pool1._108_,17.105µm
net2938,17.105µm
m.u_conv3.u_weights._06082_,17.1µm
m.u_conv3.u_weights._12002_,17.1µm
m.u_conv3.u_weights._14289_,17.1µm
net2624,17.1µm
m.u_conv3.u_weights._10538_,17.095µm
m.u_conv3.u_weights._10943_,17.095µm
m.u_conv3.u_weights._11146_,17.095µm
m.u_tree._1453_,17.095µm
m.u_tree._0789_,17.085µm
net1835,17.08µm
m.u_conv3.u_weights._08670_,17.08µm
m.u_conv2.u_loader._065_,17.07µm
m.u_conv3.u_weights._03894_,17.07µm
m.u_conv3.u_weights._06525_,17.07µm
m.u_conv3.u_weights._08133_,17.07µm
m.u_conv3.u_weights._11515_,17.07µm
m.sram_req_mnist\[20\],17.065µm
m.u_conv2._0826_,17.065µm
m.u_conv3.u_weights._00478_,17.065µm
m.u_conv3.u_weights._03856_,17.065µm
m.u_tree._0073_,17.065µm
m.sram_req_pool2\[16\],17.06µm
m.u_conv3._108_,17.06µm
m.u_conv3.u_weights._10372_,17.06µm
m.u_conv3.u_weights._15000_,17.06µm
net2809,17.06µm
net2986,17.06µm
m.u_conv3.u_weights._12580_,17.055µm
m.u_conv1.u_weights._114_,17.05µm
m.u_conv3.u_weights._01438_,17.05µm
m.u_conv3.u_weights._03901_,17.05µm
m.u_conv3.u_weights._05129_,17.05µm
m.u_conv3.u_weights._06719_,17.05µm
m.u_conv3.u_weights._07305_,17.05µm
m.u_conv3.u_weights._08245_,17.05µm
m.u_conv3.u_weights._09501_,17.05µm
m.u_conv3.u_weights._15183_,17.05µm
m.u_pool1.top_byte_reg\[3\],17.05µm
m.u_tree._0663_,17.05µm
m.u_tree._1280_,17.05µm
net2909,17.05µm
m.u_conv2.u_loader._251_,17.045µm
m.u_conv3.u_weights._01479_,17.04µm
m.u_conv3.u_weights._02731_,17.04µm
m.u_conv3.u_weights._07700_,17.04µm
m.u_conv3.u_weights._09230_,17.04µm
m.u_conv3.u_weights._12787_,17.04µm
m.u_conv3.u_weights._13691_,17.035µm
m.u_conv3.u_weights._14047_,17.025µm
m.u_conv2.acc\[14\]\[2\],17.01µm
m.u_conv3.u_weights._11826_,17.01µm
m.u_conv3.u_weights._15662_,17.01µm
m.u_pool2._002_,17.01µm
m.u_conv3.u_weights._01884_,17.005µm
m.u_conv2._0547_,17µm
m.u_conv3.u_weights._00338_,17µm
m.u_conv3.u_weights._12766_,17µm
m.u_conv3.u_weights._13500_,17µm
m.u_conv3.u_weights._14318_,17µm
m.u_conv3.u_weights._14435_,17µm
m.u_conv3.u_weights._14558_,17µm
m.u_conv3.u_weights._12658_,16.995µm
m.sram_req_conv2\[0\],16.99µm
m.u_conv1.u_loader._085_,16.99µm
m.u_conv2._0613_,16.99µm
m.u_conv2.acc\[27\]\[4\],16.99µm
m.u_conv3.u_weights._04453_,16.99µm
m.u_conv3.u_weights._09509_,16.99µm
m.u_conv3.u_weights._11310_,16.99µm
m.u_conv2.acc\[32\]\[3\],16.985µm
m.u_conv3.u_weights._09619_,16.985µm
m.u_conv3.u_weights._03178_,16.98µm
m.u_conv3.u_weights._05141_,16.98µm
m.u_conv3.u_weights._07913_,16.98µm
m.u_conv3.u_weights._05070_,16.975µm
m.u_tree._0272_,16.975µm
m.u_conv1.u_weights._095_,16.965µm
m.u_conv2.u_loader._118_,16.955µm
m.u_conv3.u_weights._06875_,16.955µm
m.u_conv3.u_weights._00714_,16.95µm
m.u_conv3.u_weights._01414_,16.95µm
m.u_conv3.u_weights._01967_,16.95µm
m.u_conv3.u_weights._09844_,16.95µm
m.u_conv3.u_weights._11096_,16.95µm
m.u_conv3.u_weights._13811_,16.95µm
m.u_conv3.u_weights._14796_,16.95µm
net2819,16.95µm
m.u_conv1._128_,16.945µm
m.u_conv2.acc\[16\]\[2\],16.945µm
m.u_conv2.acc\[33\]\[4\],16.945µm
m.u_conv3.u_weights._08757_,16.945µm
m.u_conv3.u_weights._14904_,16.945µm
m.u_conv3.u_weights._01819_,16.94µm
m.u_conv3.u_weights._02614_,16.94µm
m.u_conv3.u_weights._04000_,16.94µm
m.u_conv3.u_weights._04717_,16.94µm
m.u_conv3.u_weights._06985_,16.94µm
m.u_conv3.u_weights._15707_,16.94µm
net2871,16.94µm
m.u_conv2._0695_,16.935µm
m.u_conv3.u_weights._00957_,16.935µm
m.u_conv2._0611_,16.93µm
m.u_conv2.u_loader._307_,16.93µm
m.u_conv3.u_weights._04085_,16.93µm
